r,t,y,CapitalInvestment
"Region1","GASIFICATION",2028,0
"Region1","GASIFICATION",2029,0
"Region1","GASIFICATION",2030,0
"Region1","GASIFICATION",2031,0
"Region1","GASIFICATION",2032,0
"Region1","GASIFICATION",2033,0
"Region1","GASIFICATION",2034,0
"Region1","GASIFICATION",2035,0
"Region1","IMP_DSL",2018,0.150820878405508
"Region1","IMP_DSL",2019,0.156389047430322
"Region1","IMP_DSL",2020,0.161580793615728
"Region1","IMP_DSL",2021,0.167337389669909
"Region1","IMP_DSL",2022,0.172788434510059
"Region1","IMP_DSL",2023,0.178618641716207
"Region1","IMP_DSL",2024,0.187067894392949
"Region1","IMP_DSL",2025,0.195936703855167
"Region1","IMP_DSL",2026,0.205246937525138
"Region1","IMP_DSL",2027,0.215021662650456
"Region1","IMP_DSL",2028,0.225285215605585
"Region1","IMP_DSL",2029,0.236063276069079
"Region1","IMP_DSL",2030,0.247382945206736
"Region1","IMP_DSL",2031,0.259272829103411
"Region1","IMP_DSL",2032,0.271763127223843
"Region1","IMP_DSL",2033,0.284885726660383
"Region1","IMP_DSL",2034,0.298674301407227
"Region1","IMP_DSL",2035,0.313164419393707
"Region1","IMP_GSL",2018,0.0721556766080469
"Region1","IMP_GSL",2019,0.075601160729969
"Region1","IMP_GSL",2020,0.0792111691429783
"Region1","IMP_GSL",2021,0.0829935579812142
"Region1","IMP_GSL",2022,0.0869565585344054
"Region1","IMP_GSL",2023,0.0911087951651326
"Region1","IMP_GSL",2024,0.0954593039559036
"Region1","IMP_GSL",2025,0.100017552608669
"Region1","IMP_GSL",2026,0.104793460847193
"Region1","IMP_GSL",2027,0.109797422066891
"Region1","IMP_GSL",2028,0.115040325891301
"Region1","IMP_GSL",2029,0.120533582094237
"Region1","IMP_GSL",2030,0.126289145091869
"Region1","IMP_GSL",2031,0.132319540293237
"Region1","IMP_GSL",2032,0.138637891058026
"Region1","IMP_GSL",2033,0.145257947486645
"Region1","IMP_GSL",2034,0.152194116310323
"Region1","IMP_GSL",2035,0.159461491992599
"Region1","IMP_KER",2018,0.015705140130333
"Region1","IMP_KER",2019,0.0165961009455746
"Region1","IMP_KER",2020,0.01754082720034
"Region1","IMP_KER",2021,0.018542694260466
"Region1","IMP_KER",2022,0.0196052945643764
"Region1","IMP_KER",2023,0.0207324524140814
"Region1","IMP_KER",2024,0.021928236140354
"Region1","IMP_KER",2025,0.0231969819973597
"Region1","IMP_KER",2026,0.0245432958275227
"Region1","IMP_KER",2027,0.0259720935809981
"Region1","IMP_KER",2028,0.0274886020346835
"Region1","IMP_KER",2029,0.0290983839754576
"Region1","IMP_KER",2030,0.0308073689118512
"Region1","IMP_KER",2031,0.0326218689933793
